Depth,Temperature [°C],Oxygen [mg/l],timestamp
1.5,22.2,8.2,2010-08-17 07:30:00
2.0,22.2,8.3,2010-08-17 07:30:00
2.5,22.2,8.0,2010-08-17 07:30:00
3.0,22.2,8.0,2010-08-17 07:30:00
3.5,22.2,8.3,2010-08-17 07:30:00
4.0,22.1,7.8,2010-08-17 07:30:00
4.5,21.8,5.3,2010-08-17 07:30:00
5.0,20.7,2.2,2010-08-17 07:30:00
5.5,19.2,0.0,2010-08-17 07:30:00
6.0,,,2010-08-17 07:30:00
6.5,,,2010-08-17 07:30:00
7.0,,,2010-08-17 07:30:00
7.5,,,2010-08-17 07:30:00
8.0,,,2010-08-17 07:30:00
8.5,,,2010-08-17 07:30:00
9.0,,,2010-08-17 07:30:00
9.5,,,2010-08-17 07:30:00
10.0,,,2010-08-17 07:30:00
0.0,22.6,8.4,2010-08-17 19:00:00
0.5,22.6,8.0,2010-08-17 19:00:00
1.0,22.7,8.3,2010-08-17 19:00:00
1.5,22.7,7.7,2010-08-17 19:00:00
2.0,22.7,8.0,2010-08-17 19:00:00
2.5,22.4,7.7,2010-08-17 19:00:00
3.0,22.4,8.0,2010-08-17 19:00:00
3.5,22.3,7.3,2010-08-17 19:00:00
4.0,22.2,7.5,2010-08-17 19:00:00
4.5,21.7,4.8,2010-08-17 19:00:00
5.0,20.8,2.3,2010-08-17 19:00:00
5.5,19.3,1.02,2010-08-17 19:00:00
6.0,16.9,0.0,2010-08-17 19:00:00
6.5,,,2010-08-17 19:00:00
7.0,,,2010-08-17 19:00:00
7.5,,,2010-08-17 19:00:00
8.0,,,2010-08-17 19:00:00
8.5,,,2010-08-17 19:00:00
9.0,,,2010-08-17 19:00:00
9.5,,,2010-08-17 19:00:00
10.0,,,2010-08-17 19:00:00
0.0,21.9,7.9,2010-08-18 07:30:00
0.5,22.0,8.2,2010-08-18 07:30:00
1.0,22.0,8.1,2010-08-18 07:30:00
1.5,22.0,8.1,2010-08-18 07:30:00
2.0,22.0,7.9,2010-08-18 07:30:00
2.5,22.0,8.06,2010-08-18 07:30:00
3.0,22.0,8.2,2010-08-18 07:30:00
3.5,22.0,8.0,2010-08-18 07:30:00
4.0,22.0,8.0,2010-08-18 07:30:00
4.5,21.9,6.5,2010-08-18 07:30:00
5.0,20.7,2.3,2010-08-18 07:30:00
5.5,18.9,0.7,2010-08-18 07:30:00
6.0,16.9,0.0,2010-08-18 07:30:00
6.5,,,2010-08-18 07:30:00
7.0,,,2010-08-18 07:30:00
7.5,,,2010-08-18 07:30:00
8.0,,,2010-08-18 07:30:00
8.5,,,2010-08-18 07:30:00
9.0,,,2010-08-18 07:30:00
9.5,,,2010-08-18 07:30:00
10.0,,,2010-08-18 07:30:00
0.0,22.0,8.9,2010-08-18 15:30:00
0.5,22.0,8.8,2010-08-18 15:30:00
1.0,22.0,8.7,2010-08-18 15:30:00
1.5,22.0,8.7,2010-08-18 15:30:00
2.0,22.0,8.8,2010-08-18 15:30:00
2.5,21.9,8.8,2010-08-18 15:30:00
3.0,21.9,8.7,2010-08-18 15:30:00
3.5,21.8,8.7,2010-08-18 15:30:00
4.0,21.8,8.7,2010-08-18 15:30:00
4.5,21.4,6.0,2010-08-18 15:30:00
5.0,21.2,3.5,2010-08-18 15:30:00
5.5,19.1,0.5,2010-08-18 15:30:00
6.0,17.0,0.0,2010-08-18 15:30:00
6.5,,,2010-08-18 15:30:00
7.0,,,2010-08-18 15:30:00
7.5,,,2010-08-18 15:30:00
8.0,,,2010-08-18 15:30:00
8.5,,,2010-08-18 15:30:00
9.0,,,2010-08-18 15:30:00
9.5,,,2010-08-18 15:30:00
10.0,,,2010-08-18 15:30:00
0.0,21.5,8.9,2010-08-18 07:30:00
0.5,21.5,8.7,2010-08-18 07:30:00
1.0,21.5,9.0,2010-08-18 07:30:00
1.5,21.5,8.8,2010-08-18 07:30:00
2.0,21.5,8.6,2010-08-18 07:30:00
2.5,21.5,8.8,2010-08-18 07:30:00
3.0,21.5,8.8,2010-08-18 07:30:00
3.5,21.5,8.9,2010-08-18 07:30:00
4.0,21.5,8.8,2010-08-18 07:30:00
4.5,21.5,8.9,2010-08-18 07:30:00
5.0,21.0,4.4,2010-08-18 07:30:00
5.5,19.0,0.0,2010-08-18 07:30:00
6.0,,,2010-08-18 07:30:00
6.5,,,2010-08-18 07:30:00
7.0,,,2010-08-18 07:30:00
7.5,,,2010-08-18 07:30:00
8.0,,,2010-08-18 07:30:00
8.5,,,2010-08-18 07:30:00
9.0,,,2010-08-18 07:30:00
9.5,,,2010-08-18 07:30:00
10.0,,,2010-08-18 07:30:00
0.0,21.9,7.9,2010-08-19 15:15:00
0.5,21.8,7.9,2010-08-19 15:15:00
1.0,21.8,7.9,2010-08-19 15:15:00
1.5,21.7,7.6,2010-08-19 15:15:00
2.0,21.7,7.6,2010-08-19 15:15:00
2.5,21.7,7.7,2010-08-19 15:15:00
3.0,21.7,7.7,2010-08-19 15:15:00
3.5,21.7,7.7,2010-08-19 15:15:00
4.0,21.6,7.7,2010-08-19 15:15:00
4.5,21.4,7.1,2010-08-19 15:15:00
5.0,21.0,6.0,2010-08-19 15:15:00
5.5,19.7,1.4,2010-08-19 15:15:00
6.0,16.8,0.48,2010-08-19 15:15:00
6.5,14.2,0.06,2010-08-19 15:15:00
7.0,,,2010-08-19 15:15:00
7.5,,,2010-08-19 15:15:00
8.0,,,2010-08-19 15:15:00
8.5,,,2010-08-19 15:15:00
9.0,,,2010-08-19 15:15:00
9.5,,,2010-08-19 15:15:00
10.0,,,2010-08-19 15:15:00
0.0,20.8,8.2,2010-08-26 15:00:00
0.5,20.8,8.0,2010-08-26 15:00:00
1.0,20.8,8.0,2010-08-26 15:00:00
1.5,20.8,8.0,2010-08-26 15:00:00
2.0,20.8,8.0,2010-08-26 15:00:00
2.5,20.8,8.0,2010-08-26 15:00:00
3.0,20.8,7.8,2010-08-26 15:00:00
3.5,20.7,7.5,2010-08-26 15:00:00
4.0,20.7,7.8,2010-08-26 15:00:00
4.5,20.7,7.8,2010-08-26 15:00:00
5.0,20.6,8.1,2010-08-26 15:00:00
5.5,20.3,6.5,2010-08-26 15:00:00
6.0,18.7,0.6,2010-08-26 15:00:00
6.5,14.6,0.1,2010-08-26 15:00:00
7.0,,,2010-08-26 15:00:00
7.5,,,2010-08-26 15:00:00
8.0,,,2010-08-26 15:00:00
8.5,,,2010-08-26 15:00:00
9.0,,,2010-08-26 15:00:00
9.5,,,2010-08-26 15:00:00
10.0,,,2010-08-26 15:00:00
0.0,17.9,7.06,2011-09-14 00:00:00
0.5,17.9,6.98,2011-09-14 00:00:00
1.0,17.9,6.92,2011-09-14 00:00:00
1.5,17.9,6.9,2011-09-14 00:00:00
2.0,17.9,6.82,2011-09-14 00:00:00
2.5,17.9,6.85,2011-09-14 00:00:00
3.0,17.9,6.78,2011-09-14 00:00:00
3.5,17.9,6.65,2011-09-14 00:00:00
4.0,17.8,5.87,2011-09-14 00:00:00
4.5,17.5,4.03,2011-09-14 00:00:00
5.0,17.4,3.68,2011-09-14 00:00:00
5.5,17.2,1.88,2011-09-14 00:00:00
6.0,16.9,0.07,2011-09-14 00:00:00
6.5,15.1,0.0,2011-09-14 00:00:00
7.0,13.3,0.0,2011-09-14 00:00:00
7.5,,,2011-09-14 00:00:00
8.0,,,2011-09-14 00:00:00
8.5,,,2011-09-14 00:00:00
9.0,,,2011-09-14 00:00:00
0.0,12.1,4.85,2011-10-18 12:00:00
0.5,12.1,4.73,2011-10-18 12:00:00
1.0,12.0,4.66,2011-10-18 12:00:00
1.5,12.0,4.61,2011-10-18 12:00:00
2.0,12.0,4.56,2011-10-18 12:00:00
2.5,12.0,4.53,2011-10-18 12:00:00
3.0,12.0,4.49,2011-10-18 12:00:00
3.5,12.0,4.48,2011-10-18 12:00:00
4.0,12.0,4.33,2011-10-18 12:00:00
4.5,12.0,4.33,2011-10-18 12:00:00
5.0,12.0,4.11,2011-10-18 12:00:00
5.5,12.0,4.05,2011-10-18 12:00:00
6.0,11.9,3.82,2011-10-18 12:00:00
6.5,11.9,3.73,2011-10-18 12:00:00
7.0,11.9,3.16,2011-10-18 12:00:00
7.5,11.8,3.21,2011-10-18 12:00:00
8.0,11.7,2.8,2011-10-18 12:00:00
8.5,,,2011-10-18 12:00:00
9.0,,,2011-10-18 12:00:00
0.0,5.88,10.5,2011-10-23 15:00:00
0.5,5.76,10.5,2011-10-23 15:00:00
1.0,5.72,10.5,2011-10-23 15:00:00
1.5,5.72,10.5,2011-10-23 15:00:00
2.0,5.72,10.5,2011-10-23 15:00:00
2.5,5.69,10.5,2011-10-23 15:00:00
3.0,5.63,10.5,2011-10-23 15:00:00
3.5,5.6,10.5,2011-10-23 15:00:00
4.0,5.57,10.4,2011-10-23 15:00:00
4.5,5.41,10.3,2011-10-23 15:00:00
5.0,5.32,10.3,2011-10-23 15:00:00
5.5,5.25,10.3,2011-10-23 15:00:00
6.0,5.24,10.3,2011-10-23 15:00:00
6.5,5.22,10.2,2011-10-23 15:00:00
7.0,5.22,10.2,2011-10-23 15:00:00
7.5,5.12,10.1,2011-10-23 15:00:00
8.0,5.07,10.1,2011-10-23 15:00:00
8.5,5.0,10.1,2011-10-23 15:00:00
9.0,,,2011-10-23 15:00:00
0.0,9.0,6.42,2011-11-08 00:00:00
0.5,9.0,7.35,2011-11-08 00:00:00
1.0,9.0,7.84,2011-11-08 00:00:00
1.5,9.0,7.8,2011-11-08 00:00:00
2.0,9.0,7.68,2011-11-08 00:00:00
2.5,9.0,7.66,2011-11-08 00:00:00
3.0,9.0,7.26,2011-11-08 00:00:00
3.5,9.0,7.35,2011-11-08 00:00:00
4.0,9.0,6.95,2011-11-08 00:00:00
4.5,9.0,6.9,2011-11-08 00:00:00
5.0,9.0,6.85,2011-11-08 00:00:00
5.5,9.0,6.85,2011-11-08 00:00:00
6.0,9.0,6.78,2011-11-08 00:00:00
6.5,9.0,6.79,2011-11-08 00:00:00
7.0,9.0,6.76,2011-11-08 00:00:00
7.5,9.0,6.67,2011-11-08 00:00:00
